Page,Collaboration,Raw_Text,IP_Found,Matched_IP
9,N/A,"Summoners War x Demon Slayer: Kimetsu no Yaiba | January 7, 2025 | Anime & Comics | RPG | Release Date: | 9/1/2025 | 1/9/2025 | The Summoners War: Sky Arena and Demon Slayer: Kimetsu no Yaiba collaboration will feature Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, and the Stone Hashira Gyomei Himejima. Before the collab begins, players can earn collab event coins from the Collab Special Countdown Event. Coins may be used to claim a Demon Slayer Scroll and other rewards. | Content Integration | Mobile | PC | Read more",True,demon slayer
9,N/A,"AFK Arena x Overlord | January 1, 2025 | Anime & Comics | RPG | Release Date: | 1/1/2025 | 1/1/2025 | This collaboration with Overlord is a refreshed version of their previous collab. The are including Ainz and Albedo, who will have their skills adjusted. Shalltear Bloodfallen will also be arriving as a new hero. | Content Integration | Mobile | Read more",True,overlord
9,N/A,"Compass x Hunter × Hunter | December 23, 2024 | Anime & Comics | Action | Release Date: | 23/12/2024 | 12/23/2024 | Compass has started a collaboration with the TV anime “HUNTER x HUNTER”. New collaboration heroes, “Gon” and “Killua” will join the battle, and collaboration costumes based on HUNTER x HUNTER characters will appear. | Content Integration | Mobile | Read more",True,hunter x hunter
10,N/A,"That Time I Got Reincarnated as a Slime ISEKAI Chronicles x Frieren: Beyond Journey's End | December 20, 2024 | Anime & Comics | RPG | Release Date: | 20/12/2024 | 12/20/2024 | Bandai Namco Entertainment has announced a collaboration between the That Time I Got Reincarnated as a Slime: ISEKAI MEMORIES game and Frieren: Beyond Journey’s End. The event is titled “Octagram and the Millennium Mage Part 1” and includes the characters and voice actors from the Frieren: Beyond Journey’s End franchise. A new story supervised by Fuse, author of the original light novels! A mysterious girl named Shinsha appears, claiming to be Rimuru’s daughter. Relive famous moments from Season 1 of the anime in fully voiced cut scenes! The star-studded vocal cast lend their talents to battle voices and interactions in town as well! Use the nation-building system to create your ideal version of Tempest! Build and position all sorts of buildings and facilities: your citizens’ homes, restaurants, the blacksmith shop, the laboratory, magic-enhancing facilities, and more. | Content Integration | Mobile | PC | Console | Read more",True,that time i got reincarnated as a slim
10,N/A,"Muse Dash x Blue Archive | December 20, 2024 | Video Games | Other | Release Date: | 27/12/2024 | 12/27/2024 | The ""MD-level Tactical Training Blu-ray"" is a special Muse Dash × Blue Archive Collab Music Pack! Dive into 4 incredible stages that blend themes of youth, friendship, adventure, legend, luck, imagination, and a touching finale. | Content Integration | Mobile | PC | Console | Read more",True,touch
10,N/A,"Seven Knights Idle Adventure x Overlord | December 11, 2024 | Anime & Comics | RPG | Release Date: | 12/12/2024 | 12/12/2024 | The Seven Knights Idle Adventure x Overlord crossover event is now live Three new collaboration characters added Several events, a Challenger Pass, and a Special check-in are all available | Content Integration | Mobile | Read more",True,overlord
11,N/A,"BanG Dream! Girls Band Party! x Chainsaw Man | December 8, 2024 | Anime & Comics | Adventure | Release Date: | 15/12/2024 | 12/15/2024 | BanG Dream! Girls Band Party! has announced a crossover with the anime series Chainsaw Man. Fans of both franchises can look forward to exclusive in-game events, characters, and rewards. This highly anticipated collaboration introduces limited members, Chainsaw Man-themed cover songs, and special missions. | Content Integration | Mobile | Console | ReadÂ more",True,chainsaw man
11,N/A,"Super Monkey Ball Banana Rumble x Hatsune Miku | November 28, 2024 | Anime & Comics | Party | Release Date: | 26/11/2024 | 11/26/2024 | Hatsune Miku is now available as a DLC character in Super Monkey Ball Banana Rumble. As Hatsune Miku, players will collect musical notes instead of bananas. | Content Integration | Console | ReadÂ more",True,nana
11,N/A,"Super Monkey Ball Banana Rumble x Godzilla | November 28, 2024 | Film & Television | Party | Release Date: | 26/11/2024 | 11/26/2024 | Godzilla is now available as a DLC character in Super Monkey Ball Banana Rumble. As part of this collab, Godzilla will pick up trains instead of bananas. | Content Integration | Console | ReadÂ more",True,nana
12,N/A,"Mahjong Soul x THE IDOLM@STER SHINY COLORS | November 25, 2024 | Video Games | Strategy | Release Date: | 25/11/2024 | 11/25/2024 | The collaboration event between Mahjong Soul and THE IDOLM@STER SHINY COLORS has officially commenced! Mahjong Soul players can not only experience the new event, new gameplay and obtain generous rewards, but also have the opportunity to draw four cute collaboration characters and acquire 4 limited-time collaboration outfits and 5 brand-new collaboration decorations! | Content Integration | Mobile | PC | Read more",True,idol
12,N/A,"Path to Nowhere x JoJo's Bizarre Adventure: Stone Ocean | November 23, 2024 | Anime & Comics | RPG | Release Date: | 30/4/2024 | 4/30/2024 | Aisno Games announced that their Path to Nowhere mobile game will be collaborating with the JoJo’s Bizarre Adventure: Stone Ocean anime again in China. Their first collaboration added Jolyne Cujoh, Foo Fighters, and Weather Report as playable characters. The event ran from April 30, 2024 to May 16, 2024 in the Chinese version. Unfortunately, Aisno Games made no announcement for including it in the global version of the game. They skipped the event in Japan and English-speaking countries. Aisno will reveal the date of the upcoming event in the future. The event adds Part 6 Jotaro Kujo as a playable Sinner (Convict in the Chinese version). The stream teased that the event will bring the characters into the climactic final battle. This is likely referring to the battle against Made in Heaven. In addition to new playable characters, two existing Sinners/Convicts will also receive brand-new collaboration outfits in this event. Plus, there will be a special adventure storyline that includes full voice acting. | Content Integration | Mobile | Read more",True,jojo
12,N/A,"Azur Lane x To Love Ru Darkness | November 17, 2024 | Anime & Comics | Shooting | Release Date: | 21/11/2024 | 11/21/2024 | Azur Lane is collaborating with the manga and anime series To Love Ru Darkness. Fans can anticipate the inclusion of several fan-favorite characters from To Love Ru, notably Lala Satalin Deviluke, Nana Astar Deviluke, Momo Belia Deviluke, Golden Darkness, Haruna Sairenji, and Yui Kotegawa. | Content Integration | Mobile | Read more",True,nana
13,N/A,"Granblue Fantasy x That Time I Got Reincarnated as a Slime | November 12, 2024 | Anime & Comics | RPG | Release Date: | 15/11/2024 | 11/15/2024 | Cygames has officially announced a new collaboration event between its popular Granblue Fantasy game and the renowned That Time I Got Reincarnated as a Slime (TenSura) series. This event, titled âThat Time I Got Reincarnated as a Slime: SÅkÅ« no Kagi-henâ (translated as âThe Blue Sky Chapterâ). The player community will be able to enjoy exclusive content, special rewards and challenges that will be available only during this period. Confirmed characters include Rimuru Tempest, Veldora Tempest, Shion, Milim Nava, Ramiris, and Diablo. These characters will feature special abilities and characteristics in the game, allowing players to experience their personalities and powers in a new context. | Content Integration | Mobile | PC | ReadÂ more",True,that time i got reincarnated as a slim
13,N/A,"Free Fire x Blue Lock | November 11, 2024 | Anime & Comics | Battle Royale | Release Date: | 20/11/2024 | 11/20/2024 | Players can check out an assortment of in-game goodies, such as iconic jerseys of fan-favorite characters, Isagi Yoichi and Nagi Seishiro. Players can also experience the intensity and energy of Blue Lock by activating Isagi's Spatial Awareness, and Nagi's Trapping emotes on the battlefield. At the same time, players who log in and complete missions during the event period will be rewarded with rare Blue Lock-themed items, including weapon and vehicle skins, avatars, and a special banner! Fans and players can soon don costumes from the anime, including Isagi's Team Z and Nagi's Team V bundles or a basic football uniform. | Content Integration | Mobile | ReadÂ more",True,blue lock
